ASV;assignmentQual;taxID;superkingdom;phylum;class;order;family;genus;species
ASV_1;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_2;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_3;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_4;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_5;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_6;High;74729;Eukaryota;Annelida;Clitellata;Tubificida;Naididae;Baltidrilus;Baltidrilus costatus
ASV_7;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_8;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_10;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_11;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_12;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_13;Low;40324;Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
ASV_14;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_15;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_16;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_17;Low;2290922;Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lysobacter sp. TY2-98
ASV_18;Low;41062;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus leporis
ASV_20;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_21;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_22;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_24;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_25;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_26;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_27;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_28;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_29;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_31;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_32;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_33;Low;82633;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus pauculus
ASV_34;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_35;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_36;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_37;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_38;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_39;None;None;NA;NA;NA;NA;NA;NA;NA
ASV_40;Low;40324;Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia
ASV_41;Low;2571749;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. EMRT-2
